"id","CREATEDBYSTAFFID","CREATEDDATE","LASTUPDATEDBYSTAFFID","LASTUPDATEDDATE","STATUS","ALIAS","DESCRIPTION","NAME","parentbusinesssubmoduleid"
1,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","SEARCH_SERVICE_INSTANCE","Search Service Instance","Search Service Instance",1
2,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","SYNCHRONIZE_SERVICE_INSTANCE","Synchronize Service Instance","Synchronize Service Instance",1
3,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","IMPORT_SERVICE_INSTANCE_CONFIG","Import Service Instance Configuration ","Import Service Instance Configuration",1
4,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","EXPORT_SERVICE_INSTANCE_CONFIG","Export Service Instance Configuration ","Export Service Instance Configuration",1
5,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","START_SERVICE_INSTANCE","Start Service Instance","Start Service Instance",1
6,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","STOP_SERVICE_INSTANCE","Stop Service Instance","Stop Service Instance",1
7,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","CREATE_SERVICE_INSTANCE","Create Service Instance","Create Service Instance",2
8,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","DELETE_SERVICE_INSTANCE","Delete Service Instance","Delete Service Instance",2
9,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","UPDATE_SERVICE_INSTANCE","Update Service Instance","Update Service Instance",2
10,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","VIEW_SERVICE_INSTANCE","View Service Instance","View Service Instance",2
11,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","CREATE_COLLECTION_DRIVER","Create Collection Driver","Create Collection Driver",2
12,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","CONFIGURE_COLLECTION_DRIVER","Configure Collection Driver","Configure Collection Driver",2
13,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","DELETE_COLLECTION_DRIVER","Delete Collection Driver","Delete Collection Driver",2
14,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","UPDATE_COLLECTION_DRIVER","Update Collection Driver","Update Collection Driver",2
15,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","VIEW_COLLECTION_DRIVER","View Collection Driver","View Collection Driver",2
16,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","CREATE_DISTRIBUTION_DRIVER","Create Distribution Driver","Create Distribution Driver",2
17,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","CONFIGURE_DISTRIBUTION_DRIVER","Configure Distribution Driver","Configure Distribution Driver",2
18,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","DELETE_DISTRIBUTION_DRIVER","Delete Distribution Driver","Delete Distribution Driver",2
19,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","UPDATE_DISTRIBUTION_DRIVER","Update Distribution Driver","Update Distribution Driver",2
20,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","VIEW_DISTRIBUTION_DRIVER","View Distribution Driver","View Distribution Driver",2
21,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","CREATE_COLLECTION_CLIENT","Create Collection Client","Create Collection Client",2
