"ID","CREATEDBYSTAFFID","CREATEDDATE","LASTUPDATEDBYSTAFFID","LASTUPDATEDDATE","STATUS","ALIAS","DESCRIPTION","NAME","PARENTBUSINESSMODULEID"
1,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","SERVICE_MANAGEMENT","Service Management","Service Management",1
2,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","CREATE_SERVICE","Create Service","Create Service",1
3,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","CHANGE_PASSWORD_MANAGEMENT","Change Password Management","Change Password Management",2
4,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","SYSTEM_PARAMETER_MANAGEMENT","System Parameter Management","System Parameter Management",3
5,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","STAFF_AUDIT_MANAGEMENT","Staff Audit Management","Staff Audit Management",4
6,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","ACCESS_GROUP_MANAGEMENT","Access Group Management","Access Group Management",4
7,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","STAFF_MANAGEMENT","Staff Management","Staff Management",4
8,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","CREATE_SERVER","Create Server","Create Server",5
9,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","SERVER_MANAGEMENT","Server Management","Server Management",5
10,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","DEVICE_MANAGEMENT","Device Management","Device Management",6
11,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","DEVICE_ATTRIBUTE_MANAGEMENT","Device Attribute Management","Device Attribute Management",6
12,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","EMS_VIEW","EMS View Management","EMS View Management",7
13,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","SNMP_SERVER","SNMP server Config","SNMP server Config",8
14,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","SNMP_CLIENT","SNMP Client Config","SNMP Client Config",8
15,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","ALERT_LIST","Alert List","Alert List",8
16,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","INACTIVE","PRODUCT_CONFIGURATION","Product Configuration","Product Configuration",9
17,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","FULL_LICENSE_MANAGEMENT","Full License Management","Full License Management",10
18,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","INACTIVE","PROFILE_CONFIGURATION","Profile Configuration","Profile Configuration",11
19,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","PACKET_STATASTIC_AGENT","Packet Statistic Agent","Packet Statistic Agent",12
20,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","UPDATE_PROFILE_MANAGEMENT","Update Profile Management","Update Profile Management",13
21,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","DATABASE_CONFIGURATION","Database Configuration","Database Configuration",14
22,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","SERVICE_WISE_SUMMARY","Service Wise Summary","Service Wise Summary",15
23,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","SERVICE_WISE_DETAIL","Service Wise Detail","Service Wise Detail",15
24,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","FILE_RENAME_AGENT","File rename agent","File rename agent",12
25,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","MIGRATION_CONFIURATION","Migration Configuration","Migration Configuration",16
26,1,"2017-01-13 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","REPROCESS_FILE","Re-process File","Re-Process File",17
27,1,"2017-01-13 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","VIEW_FILE_STATUS","View File status","View File status",17
