"ID","XMLNAME","SMCLASSNAME","JAXBCLASSNAME","XSDNAME","STATUS","CREATEDBYSTAFFID","CREATEDDATE","LASTUPDATEDBYSTAFFID","LASTUPDATEDDATE"
1,"collection-service.xml","com.elitecore.sm.services.model.CollectionService","com.elitecore.sm.migration.model.CollectionServiceEntity","collection-service.xsd","ACTIVE","1","2016-11-21 10:17:13.0000","1","2016-11-21 10:17:13.0000"
2,"local-collection-driver.xml","com.elitecore.sm.drivers.model.LocalCollectionDriver","com.elitecore.sm.migration.model.LocalCollectionDriverEntity","local-collection-driver.xsd","ACTIVE","1","2016-11-21 10:17:13.0000","1","2016-11-21 10:17:13.0000"
3,"ftp-collection-driver.xml","com.elitecore.sm.drivers.model.FTPCollectionDriver","com.elitecore.sm.migration.model.FTPCollectionDriverEntity","ftp-collection-driver.xsd","ACTIVE","1","2016-11-21 10:17:13.0000","1","2016-11-21 10:17:13.0000"
4,"sftp-collection-driver.xml","com.elitecore.sm.drivers.model.SFTPCollectionDriver","com.elitecore.sm.migration.model.SFTPCollectionDriverEntity","sftp-collection-driver.xsd","ACTIVE","1","2016-11-21 10:17:13.0000","1","2016-11-21 10:17:13.0000"
5,"distribution-service.xml","com.elitecore.sm.services.model.DistributionService","com.elitecore.sm.migration.model.DistributionServiceEntity","distribution-service.xsd","ACTIVE","1","2016-11-21 10:17:13.0000","1","2016-11-21 10:17:13.0000"
6,"ftp-distribution-driver.xml","com.elitecore.sm.drivers.model.FTPDistributionDriver","com.elitecore.sm.migration.model.FTPDistributionDriverEntity","ftp-distribution-driver.xsd","ACTIVE","1","2016-11-21 10:17:13.0000","1","2016-11-21 10:17:13.0000"
7,"sftp-distribution-driver.xml","com.elitecore.sm.drivers.model.SFTPDistributionDriver","com.elitecore.sm.migration.model.SFTPDistributionDriverEntity","sftp-distribution-driver.xsd","ACTIVE","1","2016-11-21 10:17:13.0000","1","2016-11-21 10:17:13.0000"
8,"local-distribution-driver.xml","com.elitecore.sm.drivers.model.LocalDistributionDriver","com.elitecore.sm.migration.model.LocalDistributionDriverEntity","local-distribution-driver.xsd","ACTIVE","1","2016-11-21 10:17:13.0000","1","2016-11-21 10:17:13.0000"
9,"mediation-server.xml","com.elitecore.sm.serverinstance.model.ServerInstance","com.elitecore.sm.migration.model.ServerConfiguration","mediation-server.xsd","ACTIVE","1","2016-11-21 10:17:13.0000","1","2016-11-21 10:17:13.0000"
10,"ascii-composer-plugin.xml","com.elitecore.sm.composer.model.ASCIIComposerMapping","com.elitecore.sm.migration.model.AsciiComposerPluginEntity","ascii-composer-plugin.xsd","ACTIVE","1","2016-11-21 10:17:13.0000","1","2016-11-21 10:17:13.0000"
