"ID","CREATEDBYSTAFFID","CREATEDDATE","LASTUPDATEDBYSTAFFID","LASTUPDATEDDATE","STATUS","APPLICABILITY","DATATYPE","DATATYPESEMANTICS","ELEMENTID","FIELDSTATUS","ATTRGROUP","NAME"
1,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","option","unsigned32","identifier","141","current","scope","lineCardId"
2,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","option","unsigned32","identifier","142","current","scope","portId"
3,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned32","identifier","10","current","scope","ingressInterface"
4,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned32","identifier","14","current","scope","egressInterface"
5,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","option","unsigned32","identifier","143","current","scope","meteringProcessId"
6,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","option","unsigned32","identifier","144","current","scope","exportingProcessId"
7,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","option","unsigned64","identifier","148","current","scope","flowId"
8,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","option","unsigned16","identifier","145","current","scope","templateId"
9,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","option","unsigned32","identifier","149","current","scope","observationDomainId"
10,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","option","unsigned32","identifier","138","current","scope","observationPointId"
11,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","option","unsigned64","identifier","137","current","scope","commonPropertiesId"
12,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","ipv4Address","identifier","130","current","config","exporterIPv4Address"
13,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","ipv6Address","identifier","131","current","config","exporterIPv6Address"
14,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned16","identifier","217","current","config","exporterTransportPort"
15,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","ipv4Address","identifier","211","current","config","collectorIPv4Address"
16,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","ipv6Address","identifier","212","current","config","collectorIPv6Address"
17,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned32","identifier","213","current","config","exportInterface"
18,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned8","identifier","214","current","config","exportProtocolVersion"
19,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned8","identifier","215","current","config","exportTransportProtocol"
20,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned16","identifier","216","current","config","collectorTransportPort"
21,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned64","flags","173","current","config","flowKeyIndicator"
