ID,CREATEDBYSTAFFID,CREATEDDATE,LASTUPDATEDBYSTAFFID,LASTUPDATEDDATE,STATUS,DESCRIPTION,ENTITY,REGEXKEY,VALUE
1,1,2016-07-11 16:21:09.0000,1,2016-07-11 16:21:09.0000,ACTIVE,Access Group Name Regex,AccessGroup,AccessGroup.name,"^.{1,60}$"
2,1,2016-07-11 16:21:09.0001,1,2016-07-11 16:21:09.0001,ACTIVE,Access Group Description Regex,AccessGroup,AccessGroup.description,"^.{1,250}$"
3,1,2016-07-11 16:21:09.0002,1,2016-07-11 16:21:09.0002,ACTIVE,Access Group Change Status - Reason for Change,AccessGroup,AccessGroup.reason.to.change,"^[\\p{L} .'-]+{1,255}$"
4,1,2016-07-11 16:21:09.0003,1,2016-07-11 16:21:09.0003,ACTIVE,Username regex,Staff,Staff.username,"^[[^\W\d/']]{1,255}$"
5,1,2016-07-11 16:21:09.0004,1,2016-07-11 16:21:09.0004,ACTIVE,First Name regex,Staff,Staff.firstName,"^[[^\W\d]\s/']{1,255}$"
6,1,2016-07-11 16:21:09.0005,1,2016-07-11 16:21:09.0005,ACTIVE,Last Name regex,Staff,Staff.lastName,"^[[^\W\d]\s/']{1,255}$"
7,1,2016-07-11 16:21:09.0006,1,2016-07-11 16:21:09.0006,ACTIVE,Staff Code regex,Staff,Staff.staffCode,"^[\w]{1,255}$"
8,1,2016-07-11 16:21:09.0007,1,2016-07-11 16:21:09.0007,ACTIVE,Staff Change Status - Reason for Change,Staff,STAFF_REASON_FOR_CHANGE_REGEX,"^[\\p{L} .'-]+{1,255}$"
9,1,2016-07-11 16:21:09.0008,1,2016-07-11 16:21:09.0008,ACTIVE,Middle name regex,Staff,Staff.middleName,"^[[^\W\d]\s/']{0,255}$"
10,1,2016-07-11 16:21:09.0009,1,2016-07-11 16:21:09.0009,ACTIVE,Address regex,Staff,Staff.address,"^[\w-._,/'][\w\s-._,/']{1,500}$"
11,1,2016-07-11 16:21:09.0010,1,2016-07-11 16:21:09.0010,ACTIVE,Address2 regex,Staff,Staff.address2,"^[\w-._,/'][\w\s-._,/']{0,500}$"
12,1,2016-07-11 16:21:09.0011,1,2016-07-11 16:21:09.0011,ACTIVE,City regex,Staff,Staff.city,"^[^\W\d/']{1,255}$"
13,1,2016-07-11 16:21:09.0012,1,2016-07-11 16:21:09.0012,ACTIVE,State regex,Staff,Staff.state,"^[^\W\d/']{0,255}$"
14,1,2016-07-11 16:21:09.0013,1,2016-07-11 16:21:09.0013,ACTIVE,Country regex,Staff,Staff.country,"^[^\W\d/']{0,255}$"
15,1,2016-07-11 16:21:09.0014,1,2016-07-11 16:21:09.0014,ACTIVE,Pincode regex,Staff,Staff.pincode,"^[0-9]{1,255}$"
16,1,2016-07-11 16:21:09.0015,1,2016-07-11 16:21:09.0015,ACTIVE,Landline regex,Staff,Staff.landlineNo,"^[0-9]{0,20}$"
17,1,2016-07-11 16:21:09.0016,1,2016-07-11 16:21:09.0016,ACTIVE,Mobile Number regex,Staff,Staff.mobileNo,"^[0-9]{1,20}$"
18,1,2016-07-11 16:21:09.0017,1,2016-07-11 16:21:09.0017,ACTIVE,Server Name,Server,Server.name,"^[\w-._,][\w\s-._,/']{1,200}+$"
19,1,2016-07-11 16:21:09.0018,1,2016-07-11 16:21:09.0018,ACTIVE,Server Description,Server,Server.description,"^[\w\s-./,/']{0,2000}$"
20,1,2016-07-11 16:21:09.0019,1,2016-07-11 16:21:09.0019,ACTIVE,Server Utility Port,Server,Server.utilityPort,(102[3-9]|10[3-9][0-9]|1[1-9][0-9]{2}|[2-9][0-9]{3}|[1-5][0-9]{4}|6[0-4][0-9]{3}|65[0-4][0-9]{2}|655[0-2][0-9]|6553[0-6])
21,1,2016-07-11 16:21:09.0020,1,2016-07-11 16:21:09.0020,ACTIVE,Server Instance Logfile Path,ServerInstance,SERVERINSTANCE_LOG_FILEPATH_REGEX,"^[\_$\w:/]{1,200}$"
22,1,2016-07-11 16:21:09.0021,1,2016-07-11 16:21:09.0021,ACTIVE,Server Instance File Storage Destination Path,ServerInstance,SERVERINSTANCE_FILESTORAGENAME_REGEX,"^[\_$\s\w:./]{1,200}$"
23,1,2016-07-11 16:21:09.0022,1,2016-07-11 16:21:09.0022,ACTIVE,Server Instance Name,ServerInstance,ServerInstance.name,"^[\w-._,/'][\w\s-._,/']{1,200}+$"
24,1,2016-07-11 16:21:09.0023,1,2016-07-11 16:21:09.0023,ACTIVE,Server Instance Description,ServerInstance,ServerInstance.description,"^[\w\s-./,/']{0,2000}$"
25,1,2016-07-11 16:21:09.0024,1,2016-07-11 16:21:09.0024,ACTIVE,Server Instance port,ServerInstance,ServerInstance.port,(102[4-9]|10[3-9][0-9]|1[1-9][0-9]{2}|[2-9][0-9]{3}|[1-5][0-9]{4}|6[0-4][0-9]{3}|65[0-4][0-9]{2}|655[0-2][0-9]|6553[0-5])
26,1,2016-07-11 16:21:09.0025,1,2016-07-11 16:21:09.0025,ACTIVE,Server Instance Try To Connect Count,ServerInstance,ServerInstance.maxConnectionRetry,"^[0-9]{1,5}+$"
27,1,2016-07-11 16:21:09.0026,1,2016-07-11 16:21:09.0026,ACTIVE,Server Instance Connection Retry Interval,ServerInstance,ServerInstance.retryInterval,"^[0-9]{1,5}+$"
28,1,2016-07-11 16:21:09.0027,1,2016-07-11 16:21:09.0027,ACTIVE,Server Instance Connection Timeout,ServerInstance,ServerInstance.connectionTimeout,"^[0-9]{1,20}+$"
29,1,2016-07-11 16:21:09.0028,1,2016-07-11 16:21:09.0028,ACTIVE,Server Instance File Storage Location Regex,DataSourceConfig,ServerInstance.fileStorageLocation,"^[\_$\s.\w:/]{1,500}$"
30,1,2016-07-11 16:21:09.0029,1,2016-07-11 16:21:09.0029,ACTIVE,Server Instance DsConfig Pojo name,DataSourceConfig,ServerInstance.datasourceConfig.dsPojo.name,"^[\w_/]{1,200}$"
31,1,2016-07-11 16:21:09.0030,1,2016-07-11 16:21:09.0030,ACTIVE,Server Instance Min Memory Allocation,ServerInstance,ServerInstance.minMemoryAllocation,"^[0-9]{1,20}+$"
32,1,2016-07-11 16:21:09.0031,1,2016-07-11 16:21:09.0031,ACTIVE,Server Instance Max Memory Allocation,ServerInstance,ServerInstance.maxMemoryAllocation,"^[0-9]{1,20}+$"
33,1,2016-07-11 16:21:09.0032,1,2016-07-11 16:21:09.0032,ACTIVE,Server Instance Threshold Time Interval Regex,ServerInstance,ServerInstance.thresholdTimeInterval,"^[0-9]{1,10}$"
34,1,2016-07-11 16:21:09.0033,1,2016-07-11 16:21:09.0033,ACTIVE,Server Instance Threshold Memory Regex,ServerInstance,ServerInstance.thresholdMemory,"^[0-9]{1,10}$"
