"ID","CREATEDBYSTAFFID","CREATEDDATE","LASTUPDATEDBYSTAFFID","LASTUPDATEDDATE","STATUS","ALIAS","TYPEOFSERVICE","DESCRIPTION","SERVICEFULLCLASSNAME","TYPE","SERVICECATEGORY"
1,1,2016-07-11 16:21:09.0000,1,2016-07-11 16:21:09.0000,"ACTIVE","COLLECTION_SERVICE","MAIN","Description : Collection Service collects data from network elements","com.elitecore.sm.services.model.CollectionService","Collection Service","OFFLINE"
2,1,2016-07-11 16:21:09.0000,1,2016-07-11 16:21:09.0000,"ACTIVE","PARSING_SERVICE","MAIN","Description : Parsing Service maps raw format to generalized format.","com.elitecore.sm.services.model.ParsingService","Parsing Service","OFFLINE"
3,1,2016-07-11 16:21:09.0000,1,2016-07-11 16:21:09.0000,"ACTIVE","PROCESSING_SERVICE","MAIN","Description : Processing Service manipulates data as per rules configured.","com.elitecore.sm.services.model.ProcessingService","Processing Service","OFFLINE"
4,1,2016-07-11 16:21:09.0000,1,2016-07-11 16:21:09.0000,"ACTIVE","DISTRIBUTION_SERVICE","MAIN","Description : Distribution Service distributes data to downstream systems.","com.elitecore.sm.services.model.DistributionService","Distribution Service","OFFLINE"
5,1,2016-07-11 16:21:09.0000,1,2016-07-11 16:21:09.0000,"ACTIVE","NATFLOW_COLLECTION_SERVICE","MAIN","Netflow Collection Service","com.elitecore.sm.services.model.NetflowCollectionService","Netflow Collection Service","ONLINE"
6,1,2016-07-11 16:21:09.0000,1,2016-07-11 16:21:09.0000,"ACTIVE","NATFLOWBINARY_COLLECTION_SERVICE","MAIN","Netflow Binary Collection Service","com.elitecore.sm.services.model.NetflowBinaryCollectionService","Netflow Binary Collection Service","ONLINE"
7,1,2016-07-11 16:21:09.0000,1,2016-07-11 16:21:09.0000,"ACTIVE","DATA_CONSOLIDATION_SERVICE","ADDITIONAL","Data Consolidation Service","com.elitecore.sm.services.model.DataConsolidationService","Data Consolidation Service","OFFLINE"
8,1,2016-07-11 16:21:09.0000,1,2016-07-11 16:21:09.0000,"ACTIVE","IPLOG_PARSING_SERVICE","MAIN","IPLog Parsing Service","com.elitecore.sm.services.model.IPLogParsingService","IPLog Parsing Service","OFFLINE"
9,1,2016-07-11 16:21:09.0000,1,2016-07-11 16:21:09.0000,"ACTIVE","AGGREGATION_SERVICE","ADDITIONAL","Aggregation Service","com.elitecore.sm.services.model.AggregationService","Aggregation Service","OFFLINE"
10,1,2016-07-11 16:21:09.0000,1,2016-07-11 16:21:09.0000,"ACTIVE","GTPPRIME_COLLECTION_SERVICE","MAIN","GTP PRIME COLLECTION SERVICE","com.elitecore.sm.services.model.GTPPrimeCollectionService","GTP Prime Collection Service","ONLINE"
11,1,2016-07-11 16:21:09.0000,1,2016-07-11 16:21:09.0000,"ACTIVE","SYSLOG_COLLECTION_SERVICE","MAIN","Syslog Collection Service","com.elitecore.sm.services.model.SysLogCollectionService","Syslog Collection Service","ONLINE"
12,1,2016-07-11 16:21:09.0000,1,2016-07-11 16:21:09.0000,"ACTIVE","CORRELATION_SERVICE","ADDITIONAL","Correlation Service","com.elitecore.sm.services.model.CorrelationService","Correlation Service","ONLINE"
13,1,2016-07-11 16:21:09.0000,1,2016-07-11 16:21:09.0000,"ACTIVE","RADIUS_COLLECTION_SERVICE","MAIN","Radius Collection Service","com.elitecore.sm.services.model.RadiusCollectionService","Radius Collection Service","ONLINE"
