PARAMETERID,CREATEDBYSTAFFID,CREATEDDATE,LASTUPDATEDBYSTAFFID,LASTUPDATEDDATE,STATUS,ALIAS,DESCRIPTION,DISPLAYORDER,ENABLED,ERRORMSG,NAME,REGEX,VALUE,SYSTEMPARAMGROUPID
1,0,2016-07-12 10:17:13.0000,0,2016-07-12 10:17:13.0000,ACTIVE,DATE_TIME_FORMAT,"dd : Day, MM : Month, yy : Year, hh : Hour, mm : Minutes, ss : Seconds",1,Y,systemParameter.dateFormat.error,Date Format,"^[\sdMyYhmsH0-9/:-]+{0,100}",MM/dd/yyyy hh:mm:ss,1
4,0,2016-07-12 10:17:13.0000,0,2016-07-12 10:17:13.0000,ACTIVE,RELEASE_LOCK_ON_WRONG_ATTEMPTS_IN_MINUTES,No. of Minutes after which account lock is release,11,Y,systemParameter.lockReleaseTime.error,Lock Release Time,"^[0-9]{1,10}$",30,2
6,0,2016-07-12 10:17:13.0000,0,2016-07-12 10:17:13.0000,ACTIVE,LOCK_ADMIN_ON_WRONG_ATTEMPTS,Lock the Admin after invalid attempt or not,4,Y,systemParameter.adminLockStatus.error,Admin Lock Status,[A-Z a-z]*,false,1
9,0,2016-07-12 10:17:13.0000,0,2016-07-12 10:17:13.0000,ACTIVE,EMS_LINK,url of your EMS system,9,Y,systemParameter.ems.link.error,EMS Url,"((?:http?://|www.)(?:[-\w]+.)*[-\w]+.*){1,255}",http://www.google.com,1
20,0,2016-07-12 10:17:13.0000,0,2016-07-12 10:17:13.0000,ACTIVE,CUSTOMER_WEB_SITE,Customer Web Site,20,Y,systemParameter.customerWebSite.error,Website,"((?:https?://|www.)(?:[-\w]+.)*[-\w]+.*){1,255}",www.elitecore.com,3
21,0,2016-07-12 10:17:13.0000,0,2016-07-12 10:17:13.0000,ACTIVE,PROFILE_IMAGE_SIZE,Maximum file size in KB for staff profile picture,7,Y,systemParameter.profile.image.size.error,Staff profile picture size in KB,"^[0-9]+{1,255}$",1024,1
2,0,2016-07-12 10:17:13.0000,0,2016-07-12 10:17:13.0000,ACTIVE,DATE_FORMAT,"dd : Day, MM : Month, yy : Year, hh : Hour, mm : Minutes, ss : Seconds",2,Y,systemParameter.shortdateFormat.error,Short Date Format,"[\sdMyYhmsH0-9/:-]{1,50}",MM/dd/yyyy,1
3,0,2016-07-12 10:17:13.0000,0,2016-07-12 10:17:13.0000,ACTIVE,MAX_WRONG_PASSWORD_ATTEMPTS,No. of invalid attempt after which account is lock for specified time,10,Y,systemParameter.invalidAttempt.error,Max Invalid Login Attempts,"^[0-9]{1,10}$",3,2
5,0,2016-07-12 10:17:13.0000,0,2016-07-12 10:17:13.0000,ACTIVE,SESSION_TIMEOUT_IN_MINUTES,Session Expiry Time in Minutes,3,Y,systemParameter.sessionExpTime.error,Session Expiry Time,"^[0-9]{1,10}$",30,1
8,0,2016-07-12 10:17:13.0000,0,2016-07-12 10:17:13.0000,ACTIVE,SYSTEM_BACKUP_FILE_PATH,Path to store backup files when any entity is deleted from system,8,Y,systemParameter.system.backup.path.error,System Backup File Path,"^[\_$\w:./\\]{1,255}$",$TOMCAT_HOME/backup,1
