"ID","CREATEDBYSTAFFID","CREATEDDATE","LASTUPDATEDBYSTAFFID","LASTUPDATEDDATE","CREATEDDATE","STATUS","ENTITYTYPE","MAXRANGE","MINRANGE","ENTITYREGEXID","ADDITIONALCHECKVAL"
1,1,"2016-07-11 16:21:09.0000",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0000","ACTIVE","com.elitecore.sm.services.model.DistributionService",500000,1,150,
2,1,"2016-07-11 16:21:09.0001",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0001","ACTIVE","com.elitecore.sm.services.model.DistributionService",500000,1,152,-1
3,1,"2016-07-11 16:21:09.0002",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0002","ACTIVE","com.elitecore.sm.services.model.CollectionService",86400,1,51,
4,1,"2016-07-11 16:21:09.0003",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0003","ACTIVE","com.elitecore.sm.services.model.CollectionService",300,1,54,
5,1,"2016-07-11 16:21:09.0004",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0004","ACTIVE","com.elitecore.sm.services.model.CollectionService",300,1,53,
6,1,"2016-07-11 16:21:09.0005",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0005","ACTIVE","com.elitecore.sm.services.model.CollectionService",200,1,52,
7,1,"2016-07-11 16:21:09.0006",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0006","ACTIVE","com.elitecore.sm.services.model.CollectionService",10000,100,55,
8,1,"2016-07-11 16:21:09.0007",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0007","ACTIVE","com.elitecore.sm.services.model.IPLogParsingService",432000,1,51,
9,1,"2016-07-11 16:21:09.0008",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0008","ACTIVE","com.elitecore.sm.services.model.IPLogParsingService",200,1,54,
10,1,"2016-07-11 16:21:09.0009",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0009","ACTIVE","com.elitecore.sm.services.model.IPLogParsingService",200,1,53,
11,1,"2016-07-11 16:21:09.0010",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0010","ACTIVE","com.elitecore.sm.services.model.IPLogParsingService",600,1,52,
12,1,"2016-07-11 16:21:09.0011",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0011","ACTIVE","com.elitecore.sm.services.model.IPLogParsingService",3000000,100,55,
13,1,"2016-07-11 16:21:09.0012",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0012","ACTIVE","com.elitecore.sm.services.model.IPLogParsingService",2147483647,100,110,
14,1,"2016-07-11 16:21:09.0013",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0013","ACTIVE","com.elitecore.sm.services.model.IPLogParsingService",60,1,111,
15,1,"2016-07-11 16:21:09.0014",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0014","ACTIVE","com.elitecore.sm.services.model.IPLogParsingService",90,1,112,
16,1,"2016-07-11 16:21:09.0015",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0015","ACTIVE","com.elitecore.sm.services.model.IPLogParsingService",65535,0,115,
17,1,"2016-07-11 16:21:09.0016",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0016","ACTIVE","com.elitecore.sm.services.model.IPLogParsingService",65535,0,116,
23,1,"2016-07-11 16:21:09.0017",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0017","ACTIVE","com.elitecore.sm.services.model.ParsingService",2147483647,100,110,
24,1,"2016-07-11 16:21:09.0018",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0018","ACTIVE","com.elitecore.sm.services.model.ParsingService",100,1,54,
25,1,"2016-07-11 16:21:09.0019",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0019","ACTIVE","com.elitecore.sm.services.model.ParsingService",100,1,53,
26,1,"2016-07-11 16:21:09.0020",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0020","ACTIVE","com.elitecore.sm.services.model.ParsingService",600,1,52,
27,1,"2016-07-11 16:21:09.0021",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0021","ACTIVE","com.elitecore.sm.services.model.ParsingService",150000,-5,55,
28,1,"2016-07-11 16:21:09.0022",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0022","ACTIVE","com.elitecore.sm.services.model.ParsingService",5000,1,190,
29,1,"2016-07-11 16:21:09.0023",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0023","ACTIVE","com.elitecore.sm.services.model.ParsingService",432000,1,51,
30,1,"2016-07-11 16:21:09.0024",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0024","ACTIVE","com.elitecore.sm.services.model.ParsingService",5000,1,193,-1
31,1,"2016-07-11 16:21:09.0025",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0025","ACTIVE","com.elitecore.sm.services.model.ParsingService",2880,1,194,-1
32,1,"2016-07-11 16:21:09.0026",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0026","ACTIVE","com.elitecore.sm.services.model.DistributionService",86400,1,51,
33,1,"2016-07-11 16:21:09.0027",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0027","ACTIVE","com.elitecore.sm.services.model.DistributionService",300,1,54,
34,1,"2016-07-11 16:21:09.0028",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0028","ACTIVE","com.elitecore.sm.services.model.DistributionService",300,1,53,
35,1,"2016-07-11 16:21:09.0029",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0029","ACTIVE","com.elitecore.sm.services.model.DistributionService",200,1,52,
36,1,"2016-07-11 16:21:09.0030",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0030","ACTIVE","com.elitecore.sm.services.model.DistributionService",150000,100,55,
37,1,"2016-07-11 16:21:09.0031",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0031","ACTIVE","com.elitecore.sm.services.model.NetflowBinaryCollectionService",64000,4000,89,
38,1,"2016-07-11 16:21:09.0032",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0032","ACTIVE","com.elitecore.sm.services.model.NetflowBinaryCollectionService",134217728,8000,90,
39,1,"2016-07-11 16:21:09.0033",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0033","ACTIVE","com.elitecore.sm.services.model.NetflowBinaryCollectionService",134217728,8000,91,
40,1,"2016-07-11 16:21:09.0034",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0034","ACTIVE","com.elitecore.sm.services.model.NetflowBinaryCollectionService",3600,0,97,
41,1,"2016-07-11 16:21:09.0035",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0035","ACTIVE","com.elitecore.sm.services.model.NetflowBinaryCollectionService",5000,1,92,
42,1,"2016-07-11 16:21:09.0036",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0036","ACTIVE","com.elitecore.sm.services.model.NetflowBinaryCollectionService",100,0,95,
43,1,"2016-07-11 16:21:09.0037",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0037","ACTIVE","com.elitecore.sm.services.model.NetflowBinaryCollectionService",300,1,54,
44,1,"2016-07-11 16:21:09.0038",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0038","ACTIVE","com.elitecore.sm.services.model.NetflowBinaryCollectionService",300,1,53,
46,1,"2016-07-11 16:21:09.0039",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0039","ACTIVE","com.elitecore.sm.services.model.NetflowBinaryCollectionService",5000000,1000000,55,
47,1,"2016-07-11 16:21:09.0040",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0040","ACTIVE","com.elitecore.sm.services.model.NetflowBinaryCollectionService",134217728,1,93,
48,1,"2016-07-11 16:21:09.0041",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0041","ACTIVE","com.elitecore.sm.services.model.NetflowCollectionService",64000,4000,89,
49,1,"2016-07-11 16:21:09.0042",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0042","ACTIVE","com.elitecore.sm.services.model.NetflowCollectionService",134217728,8000,90,
50,1,"2016-07-11 16:21:09.0043",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0043","ACTIVE","com.elitecore.sm.services.model.NetflowCollectionService",134217728,8000,91,
51,1,"2016-07-11 16:21:09.0044",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0044","ACTIVE","com.elitecore.sm.services.model.NetflowCollectionService",3600,0,97,
