"TYPE","ID","CREATEDBYSTAFFID","CREATEDDATE","LASTUPDATEDBYSTAFFID","LASTUPDATEDDATE","STATUS","DATATYPE","DATEFORMAT","DEFAULTVAL","DESCRIPTION","DESTFIELD","SEQNUMBER","TRIMCHARS","UNIFIEDFIELD","LENGTH","PADDINGCHAR","PADDINGENABLE","PADDINGTYPE","PREFIX","REPLACECONDITIONLIST","SUFFIX","ASN1DATATYPE","ARGUMENTDATATYPE","ATTRTYPE","CHILDATTRIBUTES","CHOICEID","DESTFIELDDATAFORMAT","COMPOSERMAPPINGID","APPLICATIONORDER"
"ASCIIComposerAtrribute",1,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","STRING","","","","servedImsi",1,"","General1",0,"","N","LEFT","","","","","","","","","",1,0
"ASCIIComposerAtrribute",2,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","STRING","","","","recordOpeningTime",2,"","General5",0,"","N","LEFT","","","","","","","","","",1,0
"ASCIIComposerAtrribute",3,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","STRING","","","","servedImei",3,"","General47",0,"","N","LEFT","","","","","","","","","",1,0
"ASCIIComposerAtrribute",4,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","STRING","","","","servedMsisdn",4,"","General41",0,"","N","LEFT","","","","","","","","","",1,0
"ASCIIComposerAtrribute",5,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","STRING","","","","sgsn",5,"","General3",0,"","N","LEFT","","","","","","","","","",1,0
"ASCIIComposerAtrribute",6,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","STRING","","","","ggsn",6,"","General2",0,"","N","LEFT","","","","","","","","","",1,0
"ASCIIComposerAtrribute",7,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","STRING","","","","chargingId",7,"","General10",0,"","N","LEFT","","","","","","","","","",1,0
"ASCIIComposerAtrribute",8,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","STRING","","","","apnNetwork",8,"","General19",0,"","N","LEFT","","","","","","","","","",1,0
"ASCIIComposerAtrribute",9,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","STRING","","","","servedPdpTypeOrg",9,"","General30",0,"","N","LEFT","","","","","","","","","",1,0
"ASCIIComposerAtrribute",10,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","STRING","","","","servedPdpTypeValue",10,"","General31",0,"","N","LEFT","","","","","","","","","",1,0
