"TYPE","ID","CREATEDBYSTAFFID","CREATEDDATE","LASTUPDATEDBYSTAFFID","LASTUPDATEDDATE","STATUS","APPLICATIONORDER","DEFAULTVAL","DESCRIPTION","SRCFIELD","SOURCEFIELDFORMAT","TRIMCHARS","UNIFIEDFIELD","ASN1DATATYPE","ATTRTYPE","CHILDATTR","RECINITIALIZER","SRCDATAFORMAT","ENDLENGTH","LENGTH","POSTFIX","PREFIX","RIGHTDELIMITER","STARTLENGTH","REGEX","SAMPLEDATA","SEQNUMBER","PARSERMAPPINGID","PATTERNID"
"ParserAttribute",1,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE",0,"","Netflow Protocol Version No","version","","","General1","","","","",,null,null,"","","",null,"","",null,1,null
"ParserAttribute",2,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE",0,"","CDR Create Time","expTime","","","StartDate","","","","",,null,null,"","","",null,"","",null,1,null
"ParserAttribute",3,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE",0,"","CDR Sequence No","SeqNo","","","General2","","","","",,null,null,"","","",null,"","",null,1,null
"ParserAttribute",4,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE",0,"","CGNAT ID","OBJid","","","General3","","","","",,null,null,"","","",null,"","",null,1,null
"ParserAttribute",5,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE",0,"","Netflow Template ID","TmpID","","","General4","","","","",,null,null,"","","",null,"","",null,1,null
"ParserAttribute",6,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE",0,"","sourceIPv4Address","8","","","General7","","","","",,null,null,"","","",null,"","",null,1,null
"ParserAttribute",7,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE",0,"","PostNATsourceIPv4Address","225","","","General6","","","","",,null,null,"","","",null,"","",null,1,null
"ParserAttribute",8,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE",0,"","destinationIPv4Address","12","","","General8","","","","",,null,null,"","","",null,"","",null,1,null
"ParserAttribute",9,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE",0,"","sourceTransportPort","7","","","General9","","","","",,null,null,"","","",null,"","",null,1,null
"ParserAttribute",10,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE",0,"","postNAPTSourceTransportPort","227","","","General10","","","","",,null,null,"","","",null,"","",null,1,null
"ParserAttribute",11,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE",0,"","destinationTransportPort","11","","","General11","","","","",,null,null,"","","",null,"","",null,1,null
"ParserAttribute",12,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE",0,"","protocolIdentifier","4","","","General5","","","","",,null,null,"","","",null,"","",null,1,null
"ParserAttribute",13,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE",0,"","postNATDestinationIPv4Address","226","","","General12","","","","",,null,null,"","","",null,"","",null,1,null
"ParserAttribute",14,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE",0,"","ingressVRFID","234","","","General13","","","","",,null,null,"","","",null,"","",null,1,null
"ParserAttribute",15,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE",0,"","sourceIPv6Address","27","","","General14","","","","",,null,null,"","","",null,"","",null,1,null
"ParserAttribute",16,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE",0,"","Post NAT Destination transport Port","228","","","General15","","","","",,null,null,"","","",null,"","",null,1,null
"ParserAttribute",17,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE",0,"","flowStartMilliseconds","152","","","General16","","","","",,null,null,"","","",null,"","",null,1,null
"ParserAttribute",18,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE",0,"","flowDirection","61","","","General17","","","","",,null,null,"","","",null,"","",null,1,null
"ParserAttribute",19,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE",0,"","","230","","","General18","","","","",,null,null,"","","",null,"","",null,1,null
"ParserAttribute",20,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE",0,"","fwdVNPID","33026","","","General19","","","","",,null,null,"","","",null,"","",null,1,null
"ParserAttribute",21,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE",0,"","revVNPID","33027","","","General20","","","","",,null,null,"","","",null,"","",null,1,null
"ParserAttribute",22,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE",0,"","Netflow Protocol Version No","version","","","General1","","","","",,null,null,"","","",null,"","",null,2,null
"ParserAttribute",23,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE",0,"","CDR Create Time","expTime","","","StartDate","","","","",,null,null,"","","",null,"","",null,2,null
"ParserAttribute",24,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE",0,"","CDR Sequence No","SeqNo","","","General2","","","","",,null,null,"","","",null,"","",null,2,null
"ParserAttribute",25,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE",0,"","CGNAT ID","OBJid","","","General3","","","","",,null,null,"","","",null,"","",null,2,null
"ParserAttribute",26,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE",0,"","Netflow Template ID","TmpID","","","General4","","","","",,null,null,"","","",null,"","",null,2,null
"ParserAttribute",27,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE",0,"","sourceIPv4Address","8","","","General7","","","","",,null,null,"","","",null,"","",null,2,null
"ParserAttribute",28,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE",0,"","PostNATsourceIPv4Address","225","","","General6","","","","",,null,null,"","","",null,"","",null,2,null
"ParserAttribute",29,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE",0,"","destinationIPv4Address","12","","","General8","","","","",,null,null,"","","",null,"","",null,2,null
"ParserAttribute",30,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE",0,"","sourceTransportPort","7","","","General9","","","","",,null,null,"","","",null,"","",null,2,null
"ParserAttribute",31,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE",0,"","postNAPTSourceTransportPort","227","","","General10","","","","",,null,null,"","","",null,"","",null,2,null
"ParserAttribute",32,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE",0,"","destinationTransportPort","11","","","General11","","","","",,null,null,"","","",null,"","",null,2,null
"ParserAttribute",33,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE",0,"","protocolIdentifier","4","","","General5","","","","",,null,null,"","","",null,"","",null,2,null
"ParserAttribute",34,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE",0,"","postNATDestinationIPv4Address","226","","","General12","","","","",,null,null,"","","",null,"","",null,2,null
"ParserAttribute",35,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE",0,"","ingressVRFID","234","","","General13","","","","",,null,null,"","","",null,"","",null,2,null
"ParserAttribute",36,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE",0,"","sourceIPv6Address","27","","","General14","","","","",,null,null,"","","",null,"","",null,2,null
