ID,CREATEDBYSTAFFID,CREATEDDATE,LASTUPDATEDBYSTAFFID,LASTUPDATEDDATE,STATUS,ENTITYALIAS,ENTITYTYPE,ISDEFAULT,SERVERTYPEID
1,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,COLLECTION_SERVICE,SERVICE_TYPE,Y,1
2,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,RADIUS_COLLECTION_SERVICE,SERVICE_TYPE,Y,1
3,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,INACTIVE,GTPPRIME_COLLECTION_SERVICE,SERVICE_TYPE,Y,1
4,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,INACTIVE,NATFLOW_COLLECTION_SERVICE,SERVICE_TYPE,Y,1
5,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,INACTIVE,NATFLOWBINARY_COLLECTION_SERVICE,SERVICE_TYPE,Y,1
6,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,INACTIVE,SYSLOG_COLLECTION_SERVICE,SERVICE_TYPE,Y,1
7,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,INACTIVE,IPLOG_PARSING_SERVICE,SERVICE_TYPE,Y,1
8,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,DATA_CONSOLIDATION_SERVICE,SERVICE_TYPE,Y,1
9,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,PARSING_SERVICE,SERVICE_TYPE,Y,1
10,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,PROCESSING_SERVICE,SERVICE_TYPE,Y,1
11,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,DISTRIBUTION_SERVICE,SERVICE_TYPE,Y,1
12,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,INACTIVE,CORRELATION_SERVICE,SERVICE_TYPE,Y,1
13,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,FTP_COLLECTION_DRIVER,DRIVER_TYPE,Y,1
14,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,SFTP_COLLECTION_DRIVER,DRIVER_TYPE,Y,1
15,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,LOCAL_COLLECTION_DRIVER,DRIVER_TYPE,Y,1
16,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,DATABASE_DISTRIBUTION_DRIVER,DRIVER_TYPE,Y,1
17,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,DELETED,HADOOP_DISTRIBUTION_DRIVER,DRIVER_TYPE,Y,1
18,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,FTP_DISTRIBUTION_DRIVER,DRIVER_TYPE,Y,1
19,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,SFTP_DISTRIBUTION_DRIVER,DRIVER_TYPE,Y,1
