"ID","CREATEDBYSTAFFID","CREATEDDATE","LASTUPDATEDBYSTAFFID","LASTUPDATEDDATE","STATUS","ALERTID","DESCRIPTION","NAME","THRESHOLD","ALERTYPEID"
1,1,"2016-07-12 10:17:14.0000",1,"2016-07-12 10:17:14.0000","ACTIVE","AT000196","Generated at the time of Connection Established In Collection Service","collectionServiceConnectionEstablished",1,2
2,1,"2016-07-12 10:17:14.0000",1,"2016-07-12 10:17:14.0000","ACTIVE","AT00087","Generated at the time of connection lost to database or ftp server","collectionServiceConnectionLost",1,2
3,1,"2016-07-12 10:17:14.0000",1,"2016-07-12 10:17:14.0000","ACTIVE","AT000221","Generated at the time of Disk space is Resolved In Collection Service","collectionServiceDiskSpaceResolved",1,2
4,1,"2016-07-12 10:17:14.0000",1,"2016-07-12 10:17:14.0000","ACTIVE","AT00030","Generated at the time of collection service instance goes down","collectionServiceDown",1,2
5,1,"2016-07-12 10:17:14.0000",1,"2016-07-12 10:17:14.0000","ACTIVE","AT00020","Generated at the time of receiving duplicate file","collectionServiceDuplicateFileReceived",10,2
6,1,"2016-07-12 10:17:14.0000",1,"2016-07-12 10:17:14.0000","ACTIVE","AT000111","Generated at the time of collection service will be in Error","collectionServiceError",10,2
7,1,"2016-07-12 10:17:14.0000",1,"2016-07-12 10:17:14.0000","ACTIVE","AT00026","Generated at the time of failure in start up process of collection service","collectionServiceFailedToStart",1,2
8,1,"2016-07-12 10:17:14.0000",1,"2016-07-12 10:17:14.0000","ACTIVE","AT00052","Generated at the time of some abnormal condition like no access to destination folder or no space left on the device","collectionServiceFileTransferFailed",10,2
9,1,"2016-07-12 10:17:14.0000",1,"2016-07-12 10:17:14.0000","ACTIVE","AT000210","Generated at the time of Maximum Files Threshold Reached In Collection Service","collectionServiceMaxFilesAlert",5,2
10,1,"2016-07-12 10:17:14.0000",1,"2016-07-12 10:17:14.0000","ACTIVE","AT000211","Generated at the time of Maximum Retry Reached In Collection Service","collectionServiceMaxRetryReached",5,2
11,1,"2016-07-12 10:17:14.0000",1,"2016-07-12 10:17:14.0000","ACTIVE","AT000197","Generated at the time of Move or Rename Operation on File In Collection Service","collectionServiceMoveRenameFileAlert",100,2
12,1,"2016-07-12 10:17:14.0000",1,"2016-07-12 10:17:14.0000","ACTIVE","AT00062","generated at the time of no space left on the device","collectionServiceNoSpaceLeft",1,2
13,1,"2016-07-12 10:17:14.0000",1,"2016-07-12 10:17:14.0000","ACTIVE","AT000102","Generated at the time of collection service instance goes out of memory","collectionServiceOutOfMemory",1,2
14,1,"2016-07-12 10:17:14.0000",1,"2016-07-12 10:17:14.0000","ACTIVE","AT00064","Generated at the time of receiving file of zero size","collectionServiceReceivedFileSizeZero",10,2
16,1,"2016-07-12 10:17:14.0000",1,"2016-07-12 10:17:14.0000","ACTIVE","AT00023","Generated at the time of synchronization to operation for collection service instance","collectionServiceSyncTo",5,2
17,1,"2016-07-12 10:17:14.0000",1,"2016-07-12 10:17:14.0000","ACTIVE","AT00081","Generated at the time of collection service instance goes up","collectionServiceUp",1,2
18,1,"2016-07-12 10:17:14.0000",1,"2016-07-12 10:17:14.0000","ACTIVE","AT00028","Generated when database goes down","databaseDown",1,1
